Date,FED RATE,US(10)BOND,Change %_x,Exchange Rate,Change %_y,CH(10)BOND,Change %_x,CH(1)BOND,Change %_y, S&P Stock,CH(1) BOND,Shanghai Stock,Change %,PPI,CPI,TRADE BALANCE,DEBT
10-Jan-05,2.26,4.273,-0.05%,8.2765,0.00%,4.691,3.30%,2.755,0.62%,1190.25,2.86,1252.40,0.61%,150.9,80.46,-15276.5,224.9
11-Jan-05,2.24,4.244,-0.68%,8.2765,0.00%,4.686,-0.11%,2.73,-0.91%,1182.99,2.86,1257.46,0.40%,150.9,80.46,-15276.5,224.9
12-Jan-05,2.25,4.238,-0.14%,8.2765,0.00%,4.711,0.53%,2.689,-1.50%,1187.7,2.84,1256.92,-0.04%,150.9,80.46,-15276.5,224.9
13-Jan-05,2.29,4.167,-1.68%,8.2765,0.00%,4.628,-1.76%,2.756,2.49%,1177.45,2.84,1256.31,-0.05%,150.9,80.46,-15276.5,224.9
14-Jan-05,2.29,4.22,1.27%,8.2765,0.00%,4.568,-1.30%,2.752,-0.15%,1184.52,2.87,1245.62,-0.85%,150.9,80.46,-15276.5,224.9
18-Jan-05,2.31,4.193,-0.64%,8.2765,0.00%,4.741,0.40%,2.642,-0.71%,1195.98,2.9,1225.45,0.72%,150.9,80.46,-15276.5,224.9
19-Jan-05,2.19,4.175,-0.43%,8.2765,0.00%,4.747,0.13%,2.641,-0.04%,1184.63,2.88,1218.11,-0.60%,150.9,80.46,-15276.5,224.9
20-Jan-05,2.25,4.171,-0.10%,8.2765,0.00%,4.712,-0.74%,2.653,0.45%,1175.41,2.85,1204.39,-1.13%,150.9,80.46,-15276.5,224.9
21-Jan-05,2.26,4.144,-0.65%,8.2765,0.00%,4.722,0.21%,2.641,-0.45%,1167.87,2.83,1234.48,2.50%,150.9,80.46,-15276.5,224.9
24-Jan-05,2.26,4.124,-0.48%,8.2765,0.00%,4.687,-0.74%,2.594,-1.78%,1163.75,2.86,1255.78,1.73%,150.9,80.46,-15276.5,224.9
25-Jan-05,2.29,4.2,1.84%,8.2765,0.00%,4.695,0.17%,2.619,0.96%,1168.41,2.88,1254.23,-0.12%,150.9,80.46,-15276.5,224.9
26-Jan-05,2.33,4.2,0.00%,8.2765,0.00%,4.717,0.47%,2.57,-1.87%,1174.07,2.9,1241.96,-0.98%,150.9,80.46,-15276.5,224.9
27-Jan-05,2.39,4.228,0.67%,8.2765,0.00%,4.714,-0.06%,2.605,1.36%,1174.55,2.91,1225.89,-1.29%,150.9,80.46,-15276.5,224.9
28-Jan-05,2.48,4.146,-1.94%,8.2765,0.00%,4.695,-0.40%,2.621,0.61%,1171.36,2.89,1213.67,-1.00%,150.9,80.46,-15276.5,224.9
31-Jan-05,2.5,4.132,-0.34%,8.2765,0.00%,4.647,-1.02%,2.529,-3.51%,1181.27,2.96,1191.82,-1.80%,151.6,80.92,-13879.5,223.7
