Date,FED RATE,US(10)BOND,Change %_x,Exchange Rate,Change %_y,CH(10)BOND,Change %_x,CH(1)BOND,Change %_y, S&P Stock,CH(1) BOND,Shanghai Stock,Change %,PPI,CPI,TRADE BALANCE,DEBT
11-Jan-10,0.11,3.824,-0.31%,6.8263,-0.02%,3.67,1.94%,1.56,0.65%,1146.98,0.35,3212.75,0.52%,181.9,91.42,-15645.5,877.5
12-Jan-10,0.11,3.717,-2.80%,6.827,0.01%,3.6,-1.91%,1.55,-0.64%,1136.22,0.34,3273.97,1.91%,181.9,91.42,-15645.5,877.5
13-Jan-10,0.11,3.793,2.04%,6.8298,0.04%,3.75,4.17%,1.58,1.94%,1145.68,0.37,3172.66,-3.09%,181.9,91.42,-15645.5,877.5
14-Jan-10,0.11,3.742,-1.34%,6.827,-0.04%,3.67,-2.13%,1.56,-1.27%,1148.46,0.34,3215.55,1.35%,181.9,91.42,-15645.5,877.5
15-Jan-10,0.12,3.676,-1.76%,6.827,0.00%,3.71,1.09%,1.54,-1.28%,1136.03,0.33,3224.15,0.27%,181.9,91.42,-15645.5,877.5
19-Jan-10,0.13,3.698,0.60%,6.8278,0.01%,3.74,0.81%,1.63,5.84%,1150.23,0.33,3246.87,0.30%,181.9,91.42,-15645.5,877.5
20-Jan-10,0.13,3.653,-1.22%,6.827,-0.01%,3.6,-3.74%,1.55,-4.91%,1138.04,0.31,3151.85,-2.93%,181.9,91.42,-15645.5,877.5
21-Jan-10,0.12,3.595,-1.59%,6.8269,0.00%,3.74,3.89%,1.63,5.16%,1116.48,0.31,3158.86,0.22%,181.9,91.42,-15645.5,877.5
22-Jan-10,0.11,3.601,0.17%,6.827,0.00%,3.6,-3.74%,1.55,-4.91%,1091.76,0.3,3128.59,-0.96%,181.9,91.42,-15645.5,877.5
25-Jan-10,0.12,3.63,0.81%,6.8269,0.00%,3.6,0.00%,1.55,0.00%,1096.78,0.3,3094.41,-1.09%,181.9,91.42,-15645.5,877.5
26-Jan-10,0.12,3.621,-0.25%,6.8266,0.00%,3.67,1.94%,1.58,1.94%,1092.17,0.32,3019.39,-2.42%,181.9,91.42,-15645.5,877.5
27-Jan-10,0.12,3.65,0.80%,6.8278,0.02%,3.6,-1.91%,1.55,-1.90%,1097.5,0.33,2986.61,-1.09%,181.9,91.42,-15645.5,877.5
28-Jan-10,0.12,3.642,-0.22%,6.8269,-0.01%,3.64,1.11%,1.56,0.65%,1084.53,0.31,2994.14,0.25%,181.9,91.42,-15645.5,877.5
29-Jan-10,0.12,3.588,-1.48%,6.8269,0.00%,3.6,-1.10%,1.55,-0.64%,1073.87,0.3,2989.29,-0.16%,181,91.45,-19319.5,895.2
10-Feb-10,0.12,3.69,1.18%,6.8285,0.02%,3.43,-3.65%,1.49,-6.29%,1068.13,0.38,2982.5,1.14%,181,91.45,-19319.5,895.2
11-Feb-10,0.12,3.721,0.84%,6.8338,0.08%,3.55,3.50%,1.55,4.03%,1078.47,0.38,2985.5,0.10%,181,91.45,-19319.5,895.2
12-Feb-10,0.12,3.695,-0.70%,6.8334,-0.01%,3.58,0.85%,1.55,0.00%,1075.51,0.35,3018.13,1.09%,181,91.45,-19319.5,895.2
22-Feb-10,0.12,3.797,0.56%,6.8274,-0.02%,3.49,-0.57%,1.5,-10.18%,1108.01,0.37,3003.4,-0.49%,181,91.45,-19319.5,895.2
23-Feb-10,0.12,3.689,-2.84%,6.8277,0.00%,3.55,1.72%,1.55,3.33%,1094.6,0.36,2982.57,-0.69%,181,91.45,-19319.5,895.2
24-Feb-10,0.11,3.695,0.16%,6.827,-0.01%,3.47,-2.25%,1.52,-1.94%,1105.24,0.34,3022.18,1.33%,181,91.45,-19319.5,895.2
25-Feb-10,0.12,3.632,-1.71%,6.8268,0.00%,3.45,-0.58%,1.52,0.00%,1102.94,0.32,3060.62,1.27%,181,91.45,-19319.5,895.2
26-Feb-10,0.13,3.619,-0.36%,6.8261,-0.01%,3.55,2.90%,1.55,1.97%,1104.49,0.32,3051.94,-0.28%,181,91.45,-19319.5,895.2
10-Mar-10,0.14,3.721,0.57%,6.8259,-0.01%,3.37,-0.30%,1.49,3.47%,1145.61,0.39,3048.93,-0.66%,183.3,91.82,-16759.2,900.2
11-Mar-10,0.15,3.729,0.21%,6.8276,0.02%,3.37,0.00%,1.49,0.00%,1150.24,0.4,3051.28,0.08%,183.3,91.82,-16759.2,900.2
12-Mar-10,0.17,3.703,-0.70%,6.8256,-0.03%,3.54,5.04%,1.62,8.72%,1149.99,0.41,3013.41,-1.24%,183.3,91.82,-16759.2,900.2
15-Mar-10,0.2,3.697,-0.16%,6.8261,0.01%,3.45,-2.54%,1.5,-7.41%,1150.51,0.4,2976.94,-1.21%,183.3,91.82,-16759.2,900.2
16-Mar-10,0.2,3.653,-1.19%,6.826,0.00%,3.42,-0.87%,1.48,-1.33%,1159.46,0.41,2992.84,0.53%,183.3,91.82,-16759.2,900.2
17-Mar-10,0.18,3.642,-0.30%,6.826,0.00%,3.4,-0.58%,1.47,-0.68%,1166.21,0.41,3050.48,1.93%,183.3,91.82,-16759.2,900.2
18-Mar-10,0.18,3.682,1.10%,6.8262,0.00%,3.38,-0.59%,1.48,0.68%,1165.83,0.41,3046.09,-0.14%,183.3,91.82,-16759.2,900.2
19-Mar-10,0.18,3.693,0.30%,6.8266,0.01%,3.45,2.07%,1.6,8.11%,1159.9,0.42,3067.75,0.71%,183.3,91.82,-16759.2,900.2
22-Mar-10,0.18,3.661,-0.87%,6.8266,0.00%,3.38,-2.03%,1.5,-6.25%,1165.81,0.41,3074.58,0.22%,183.3,91.82,-16759.2,900.2
23-Mar-10,0.17,3.687,0.71%,6.8263,0.00%,3.45,2.07%,1.48,-1.33%,1174.17,0.4,3053.12,-0.70%,183.3,91.82,-16759.2,900.2
24-Mar-10,0.17,3.854,4.53%,6.8266,0.00%,3.42,-0.87%,1.47,-0.68%,1167.72,0.44,3056.81,0.12%,183.3,91.82,-16759.2,900.2
25-Mar-10,0.17,3.881,0.70%,6.8271,0.01%,3.42,0.00%,1.5,2.04%,1165.73,0.44,3019.18,-1.23%,183.3,91.82,-16759.2,900.2
26-Mar-10,0.17,3.851,-0.77%,6.827,0.00%,3.44,0.58%,1.55,3.33%,1166.59,0.43,3059.72,1.34%,183.3,91.82,-16759.2,900.2
